                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1992,                 4.9728,                  4.152,                 0.0003,                0.06578,                0.00022,                  6e-05,                 5.1843,                 5.3785,                 4.2787,             0.00065537,             0.00065537,             0.00065537
                      2,                 3.0269,                 3.3225,                 3.1347,                0.43218,                0.00542,                0.01449,                0.00462,                 3.5853,                 4.5477,                 3.4413,              0.0012959,              0.0012959,              0.0012959
                      3,                 2.5501,                 2.5686,                 2.6894,                0.38496,                0.35051,                0.25583,                0.07228,                 2.8149,                 2.3797,                 3.0566,              0.0019099,              0.0019099,              0.0019099
                      4,                 2.2887,                 2.2267,                 2.4685,                0.34595,                  0.464,                0.22918,                0.10124,                  2.169,                 2.5192,                 2.4931,              0.0018812,              0.0018812,              0.0018812
                      5,                  2.153,                 1.9576,                 2.3404,                0.61273,                0.44444,                 0.4727,                0.23847,                 2.0018,                 2.5499,                 2.3771,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.0281,                 1.7592,                 2.1969,                0.77393,                0.55556,                0.65288,                0.35378,                 1.7775,                 2.0175,                 2.1171,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.9001,                 1.5666,                 2.0509,                0.84288,                0.55556,                0.65513,                 0.3544,                 1.7465,                 1.5527,                 2.0734,               0.001802,               0.001802,               0.001802
                      8,                 1.8307,                 1.4854,                 1.9909,                0.74655,                0.57956,                0.63749,                0.33122,                 1.6583,                 1.5117,                 1.9573,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.8066,                 1.4526,                 1.9398,                0.79251,                0.54756,                0.64244,                0.35435,                 1.7184,                 1.6723,                  2.038,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.7265,                 1.3735,                 1.8832,                0.82271,                 0.6146,                0.69825,                0.40906,                 1.5807,                 1.4533,                  1.874,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.7192,                 1.3773,                 1.8426,                0.83028,                0.65156,                0.74783,                0.42217,                 1.6027,                 1.2528,                 1.8654,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.7253,                 1.3738,                 1.8421,                0.81503,                0.64444,                0.73711,                0.39981,                 1.6645,                 1.3336,                 1.9132,               0.001604,               0.001604,               0.001604
                     13,                 1.6302,                 1.3115,                 1.7672,                0.88737,                 0.6163,                0.74324,                0.44375,                 1.4696,                 1.2329,                 1.7708,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.5962,                  1.205,                 1.7182,                0.84213,                0.65156,                0.75348,                0.44158,                 1.5281,                 1.1707,                 1.8006,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.5706,                 1.1884,                 1.6998,                0.88263,                 0.6484,                0.77085,                0.45997,                 1.4924,                 1.1187,                 1.7368,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.5584,                  1.171,                 1.6712,                0.84217,                0.68889,                0.78199,                0.46716,                 1.4356,                 1.1026,                 1.7048,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.6041,                 1.1913,                 1.7149,                0.87968,                0.66756,                0.77499,                0.45999,                 1.4641,                 1.0997,                 1.7047,               0.001406,               0.001406,               0.001406
                     18,                 1.5737,                 1.1993,                 1.7029,                0.84077,                  0.688,                0.78745,                0.42638,                 1.5344,                 1.1278,                 1.7665,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.5796,                 1.1744,                 1.6675,                0.88475,                0.71022,                0.79821,                0.46787,                 1.4822,                 1.1076,                 1.7004,              0.0013268,              0.0013268,              0.0013268
                     20,                  1.509,                 1.1079,                   1.62,                0.89437,                0.66311,                0.77062,                0.48227,                 1.3621,                 1.1288,                 1.6153,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.4447,                 1.0579,                 1.5611,                  0.874,                  0.728,                0.81849,                0.48403,                 1.4278,                 1.0158,                 1.6341,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.4995,                 1.1037,                 1.5898,                 0.8773,                 0.7118,                0.81728,                0.51098,                 1.3359,                0.97222,                 1.5751,               0.001208,               0.001208,               0.001208
